0, run: 824, walk: 819, stand: null
1, run: -1, walk: 819, stand: null
2, run: -1, walk: 819, stand: null
3, run: -1, walk: 819, stand: null
4, run: -1, walk: 819, stand: null
5, run: -1, walk: 819, stand: null
6, run: -1, walk: 819, stand: null
7, run: -1, walk: 819, stand: null
8, run: -1, walk: 819, stand: null
9, run: -1, walk: 819, stand: null
10, run: -1, walk: 7165, stand: null
11, run: -1, walk: 819, stand: null
12, run: -1, walk: 819, stand: null
13, run: -1, walk: 819, stand: null
14, run: -1, walk: -1, stand: null
15, run: -1, walk: 819, stand: null
16, run: -1, walk: 819, stand: null
17, run: -1, walk: 7165, stand: null
18, run: -1, walk: 819, stand: null
19, run: -1, walk: 1059, stand: null
20, run: -1, walk: 1065, stand: null
21, run: -1, walk: 1065, stand: null
22, run: 15018, walk: 15017, stand: [15016]
23, run: -1, walk: 1065, stand: null
24, run: -1, walk: 819, stand: null
25, run: -1, walk: 819, stand: null
26, run: -1, walk: 819, stand: null
27, run: -1, walk: 819, stand: null
28, run: -1, walk: 819, stand: null
29, run: -1, walk: 11796, stand: null
30, run: -1, walk: 11796, stand: null
31, run: -1, walk: 819, stand: null
32, run: -1, walk: 819, stand: null
33, run: -1, walk: 819, stand: null
34, run: -1, walk: 819, stand: null
35, run: -1, walk: 819, stand: null
36, run: -1, walk: 819, stand: null
37, run: -1, walk: 819, stand: null
38, run: -1, walk: 819, stand: null
39, run: -1, walk: 819, stand: null
40, run: -1, walk: 10, stand: null
41, run: -1, walk: 5385, stand: null
42, run: -1, walk: 5340, stand: null
43, run: -1, walk: 5334, stand: null
44, run: -1, walk: 808, stand: null
45, run: -1, walk: 808, stand: null
46, run: 6817, walk: 6817, stand: null
47, run: -1, walk: 2703, stand: null
48, run: -1, walk: 5385, stand: null
49, run: -1, walk: 6583, stand: null
50, run: -1, walk: 4635, stand: null
51, run: -1, walk: 13157, stand: null
52, run: -1, walk: 14268, stand: null
53, run: -1, walk: 12246, stand: null
54, run: -1, walk: 12246, stand: null
55, run: -1, walk: 12246, stand: null
56, run: -1, walk: 98, stand: null
57, run: -1, walk: 13847, stand: null
58, run: 905, walk: 5325, stand: null
59, run: 905, walk: 5325, stand: null
60, run: 905, walk: 5325, stand: null
61, run: -1, walk: 6248, stand: null
62, run: 905, walk: 5325, stand: null
63, run: 905, walk: 5325, stand: null
64, run: 905, walk: 5325, stand: null
65, run: -1, walk: 98, stand: null
66, run: 15263, walk: 189, stand: null
67, run: 15263, walk: 189, stand: null
68, run: 15263, walk: 189, stand: null
69, run: -1, walk: 98, stand: null
70, run: -1, walk: 10899, stand: null
71, run: -1, walk: 98, stand: null
72, run: -1, walk: 10812, stand: null
73, run: -1, walk: 5566, stand: null
74, run: -1, walk: 5577, stand: null
75, run: -1, walk: 5570, stand: null
76, run: -1, walk: 5570, stand: null
77, run: -1, walk: 5566, stand: null
78, run: -1, walk: 4913, stand: null
79, run: -1, walk: 4913, stand: null
80, run: -1, walk: 9670, stand: [9669, 309]
81, run: -1, walk: 149, stand: null
82, run: -1, walk: 63, stand: null
83, run: -1, walk: 63, stand: null
84, run: -1, walk: 63, stand: null
85, run: -1, walk: 98, stand: null
86, run: 3369, walk: 14862, stand: [14857, 14858]
87, run: 3369, walk: 14862, stand: [14857, 14858]
88, run: 3369, walk: 14862, stand: [14857, 14858]
89, run: -1, walk: 6373, stand: null
90, run: -1, walk: 5481, stand: null
91, run: -1, walk: 5481, stand: null
92, run: -1, walk: 5481, stand: null
93, run: -1, walk: 5497, stand: null
94, run: -1, walk: 5479, stand: null
95, run: -1, walk: 6556, stand: null
96, run: -1, walk: 6556, stand: null
97, run: -1, walk: 6556, stand: null
98, run: -1, walk: 6583, stand: null
99, run: -1, walk: 6560, stand: null
100, run: -1, walk: 6180, stand: null
101, run: -1, walk: 6187, stand: null
102, run: -1, walk: 6180, stand: null
103, run: -1, walk: 5539, stand: null
104, run: -1, walk: 5531, stand: null
105, run: 1478, walk: 4923, stand: null
106, run: 1478, walk: 4923, stand: null
107, run: -1, walk: 6253, stand: null
108, run: -1, walk: 6253, stand: null
109, run: -1, walk: 6257, stand: null
110, run: -1, walk: 4660, stand: null
111, run: -1, walk: 4669, stand: null
112, run: -1, walk: 4654, stand: null
113, run: -1, walk: 10625, stand: null
114, run: -1, walk: 10625, stand: null
115, run: -1, walk: 10625, stand: null
116, run: -1, walk: 4649, stand: null
117, run: -1, walk: 4649, stand: null
118, run: -1, walk: 98, stand: null
119, run: -1, walk: 98, stand: null
120, run: -1, walk: 98, stand: null
121, run: -1, walk: 98, stand: null
122, run: -1, walk: 12404, stand: null
123, run: -1, walk: 167, stand: null
124, run: -1, walk: 819, stand: null
125, run: -1, walk: 841, stand: null
126, run: -1, walk: 14093, stand: null
127, run: -1, walk: 181, stand: null
128, run: -1, walk: 274, stand: null
129, run: -1, walk: 98, stand: null
130, run: -1, walk: 98, stand: null
131, run: -1, walk: 5666, stand: null
132, run: 1419, walk: 219, stand: null
133, run: -1, walk: 6373, stand: null
134, run: 905, walk: 5325, stand: null
135, run: -1, walk: 819, stand: null
136, run: -1, walk: 6799, stand: null
137, run: -1, walk: 6799, stand: null
138, run: -1, walk: 1007, stand: null
139, run: -1, walk: 1007, stand: null
140, run: -1, walk: 336, stand: null
141, run: -1, walk: 6556, stand: null
142, run: -1, walk: 6556, stand: null
143, run: -1, walk: 6556, stand: null
144, run: -1, walk: 6253, stand: null
145, run: -1, walk: 841, stand: null
146, run: -1, walk: 6773, stand: null
147, run: -1, walk: -1, stand: null
148, run: -1, walk: 6774, stand: null
149, run: -1, walk: 6773, stand: null
150, run: -1, walk: 6773, stand: null
153, run: -1, walk: 362, stand: null
154, run: -1, walk: 362, stand: null
155, run: -1, walk: 362, stand: null
156, run: -1, walk: 362, stand: null
157, run: -1, walk: 362, stand: null
158, run: -1, walk: 841, stand: null
159, run: 15263, walk: 189, stand: null
160, run: 15263, walk: 189, stand: null
161, run: 15263, walk: 189, stand: null
162, run: 15263, walk: 189, stand: null
163, run: 15263, walk: 189, stand: null
164, run: 15263, walk: 189, stand: null
165, run: -1, walk: -1, stand: null
166, run: -1, walk: 195, stand: null
167, run: -1, walk: -1, stand: null
168, run: 15263, walk: 189, stand: null
169, run: 15263, walk: 189, stand: null
170, run: -1, walk: 1146, stand: null
171, run: 15263, walk: 189, stand: null
172, run: -1, walk: 819, stand: null
173, run: -1, walk: 819, stand: null
174, run: -1, walk: 819, stand: null
175, run: -1, walk: 819, stand: null
176, run: -1, walk: 819, stand: null
177, run: -1, walk: 819, stand: null
178, run: -1, walk: 1065, stand: null
179, run: -1, walk: 1065, stand: null
180, run: -1, walk: 819, stand: null
181, run: -1, walk: 8527, stand: null
182, run: -1, walk: 7191, stand: null
183, run: -1, walk: 7191, stand: null
184, run: -1, walk: 7191, stand: null
185, run: -1, walk: 98, stand: null
186, run: -1, walk: 819, stand: null
187, run: -1, walk: 819, stand: null
188, run: -1, walk: 819, stand: null
189, run: -1, walk: 819, stand: null
190, run: -1, walk: 819, stand: null
191, run: -1, walk: 9724, stand: null
192, run: -1, walk: 819, stand: null
193, run: -1, walk: 819, stand: null
194, run: -1, walk: 819, stand: null
195, run: -1, walk: 819, stand: null
196, run: -1, walk: 819, stand: null
197, run: -1, walk: 98, stand: null
198, run: -1, walk: 1065, stand: null
199, run: -1, walk: 819, stand: null
